time,F_Tbar,z_Tbar
7.130000,3.984387,-20.426034
7.140000,3.960261,-20.526311
7.150000,4.142300,-20.626546
7.160000,4.233685,-20.674034
7.170000,4.159115,-20.661992
7.180000,4.056764,-20.643124
7.190000,4.031907,-20.639350
7.200000,4.098435,-20.637866
7.210000,4.105015,-20.678571
7.220000,4.065536,-20.774311
7.230000,4.058957,-20.874545
7.240000,4.057495,-20.903929
7.250000,4.066268,-20.866277
7.260000,4.083083,-20.872298
7.270000,4.015823,-20.905455
7.280000,4.059688,-20.910713
7.290000,4.075772,-20.892650
7.300000,4.115981,-20.922797
7.310000,4.118906,-21.016247
7.320000,4.087469,-21.102193
7.330000,4.102091,-21.146671
7.340000,4.143762,-21.146671
7.350000,4.135720,-21.139887
7.360000,4.184703,-21.131576
7.370000,4.279743,-21.124792
7.380000,4.210290,-21.181354
7.390000,4.111595,-21.325304
7.400000,4.108670,-21.411249
7.410000,4.074310,-21.430075
7.420000,4.009974,-21.414259
7.430000,4.067730,-21.392381
7.440000,4.137183,-21.407475
7.450000,4.226374,-21.445169
7.460000,4.255618,-21.463995
7.470000,4.072116,-21.535609
7.480000,3.850599,-21.605739
7.490000,3.840364,-21.614008
7.500000,3.977076,-21.621555
7.510000,4.059688,-21.641144
7.520000,4.066268,-21.641144
7.530000,4.012899,-21.607987
7.540000,4.103553,-21.587635
7.550000,4.154728,-21.651701
7.560000,4.086007,-21.788909
7.570000,4.073578,-21.854460
7.580000,4.056764,-21.850686
7.590000,4.012168,-21.820540
7.600000,4.053108,-21.782125
7.610000,4.021672,-21.757236
7.620000,3.931018,-21.796414
7.630000,4.058226,-21.844666
7.640000,4.090394,-21.903475
7.650000,3.928094,-21.969789
7.660000,3.820625,-21.998452
7.670000,4.004126,-22.002946
7.680000,4.083814,-22.037630
7.690000,4.075041,-22.056498
7.700000,4.189089,-22.053487
7.710000,4.153997,-22.045940
7.720000,4.035563,-22.091139
7.730000,3.871069,-22.214015
7.740000,3.884960,-22.303734
7.750000,3.902506,-22.312002
7.760000,3.809659,-22.295424
7.770000,3.937598,-22.271298
7.780000,4.041411,-22.220799
7.790000,4.012899,-22.236657
7.800000,4.042873,-22.338418
7.810000,4.110133,-22.452983
7.820000,3.967572,-22.521587
7.830000,3.913472,-22.532103
7.840000,4.064806,-22.508019
7.850000,4.175930,-22.496698
7.860000,4.123292,-22.532103
7.870000,3.936136,-22.544187
7.880000,3.839633,-22.552455
7.890000,3.897388,-22.631616
7.900000,4.115250,-22.719809
7.910000,4.220526,-22.781629
7.920000,4.168619,-22.824580
7.930000,4.273163,-22.815549
7.940000,4.285592,-22.792186
7.950000,4.188358,-22.781629
7.960000,4.099897,-22.797444
7.970000,4.009974,-22.896194
7.980000,3.945640,-23.017544
7.990000,4.066268,-23.068806
8.000000,4.184703,-23.066559
8.010000,4.194207,-23.046970
8.020000,4.199324,-23.064312
8.030000,4.254887,-23.124605
8.040000,4.217601,-23.171330
8.050000,4.037755,-23.212035
8.060000,4.020941,-23.298701
8.070000,4.073578,-23.390667
8.080000,4.188358,-23.426877
8.090000,4.139376,-23.441166
8.100000,4.095511,-23.429888
8.110000,4.061882,-23.405762
8.120000,4.022403,-23.394441
8.130000,4.024596,-23.398215
8.140000,4.041411,-23.487171
8.150000,4.088200,-23.614541
8.160000,4.159115,-23.659019
8.170000,4.054571,-23.651472
8.180000,4.045797,-23.631883
