time,F_Tbar,z_Tbar
4.490000,59.600574,-4.643306
4.500000,59.640785,-4.643306
4.510000,59.561829,-4.644832
4.520000,59.515770,-4.655390
4.530000,59.520157,-4.660648
4.540000,59.593266,-4.662895
4.550000,59.609348,-4.659884
4.560000,59.552322,-4.648606
4.570000,59.520157,-4.639532
4.580000,59.605694,-4.647843
4.590000,59.665642,-4.647843
4.600000,59.669296,-4.639532
4.610000,59.606422,-4.650090
4.620000,59.580837,-4.667432
4.630000,59.571331,-4.671205
4.640000,59.623970,-4.662895
4.650000,59.575718,-4.653100
4.660000,59.559635,-4.652380
4.670000,59.653942,-4.665184
4.680000,59.720470,-4.665948
4.690000,59.680264,-4.650853
4.700000,59.592533,-4.650090
4.710000,59.553055,-4.679516
4.720000,59.563290,-4.708899
4.730000,59.593994,-4.705889
4.740000,59.618122,-4.696815
4.750000,59.566216,-4.696815
4.760000,59.498222,-4.709662
4.770000,59.501148,-4.714920
4.780000,59.551594,-4.714920
4.790000,59.607887,-4.716446
4.800000,59.539165,-4.720941
4.810000,59.515770,-4.723231
4.820000,59.566216,-4.718694
4.830000,59.621044,-4.711910
4.840000,59.604961,-4.713436
4.850000,59.535507,-4.720941
4.860000,59.519424,-4.727004
4.870000,59.539165,-4.733788
4.880000,59.618851,-4.735272
4.890000,59.639320,-4.734509
4.900000,59.588146,-4.731499
4.910000,59.653214,-4.732262
4.920000,59.696346,-4.737519
4.930000,59.686844,-4.747356
4.940000,59.600574,-4.758635
4.950000,59.591801,-4.763172
4.960000,59.597649,-4.768429
4.970000,59.552322,-4.763935
4.980000,59.504803,-4.749604
4.990000,59.492374,-4.735272
5.000000,59.553787,-4.741293
5.010000,59.591072,-4.748077
5.020000,59.580105,-4.746593
5.030000,59.520885,-4.733788
5.040000,59.566944,-4.735272
5.050000,59.641514,-4.757151
5.060000,59.686111,-4.766945
5.070000,59.583031,-4.763172
5.080000,59.519424,-4.766182
5.090000,59.539165,-4.772966
5.100000,59.598381,-4.774493
5.110000,59.667103,-4.772966
5.120000,59.641514,-4.772203
5.130000,59.595459,-4.766182
5.140000,59.568409,-4.763935
5.150000,59.547207,-4.765419
5.160000,59.557442,-4.763172
5.170000,59.536972,-4.755624
5.180000,59.548668,-4.736799
5.190000,59.574257,-4.746593
5.200000,59.623970,-4.768429
5.210000,59.606422,-4.748840
5.220000,59.574986,-4.714920
5.230000,59.625431,-4.699868
5.240000,59.648094,-4.694568
5.250000,59.619583,-4.688547
5.260000,59.517963,-4.687021
5.270000,59.488720,-4.688547
5.280000,59.539894,-4.690794
5.290000,59.618122,-4.684773
5.300000,59.559635,-4.686300
5.310000,59.515038,-4.691557
5.320000,59.545742,-4.696094
5.330000,59.597649,-4.690794
5.340000,59.588146,-4.687021
5.350000,59.563290,-4.684773
5.360000,59.536972,-4.689310
5.370000,59.569138,-4.687784
5.380000,59.561829,-4.683247
5.390000,59.530392,-4.684010
5.400000,59.508457,-4.687784
5.410000,59.514309,-4.688547
5.420000,59.543552,-4.687784
5.430000,59.536972,-4.682526
5.440000,59.502609,-4.673452
5.450000,59.473366,-4.662895
5.460000,59.466785,-4.666668
5.470000,59.498222,-4.671968
5.480000,59.532585,-4.677226
5.490000,59.513577,-4.674979
5.500000,59.472637,-4.669679
5.510000,59.443394,-4.662895
5.520000,59.504803,-4.659884
5.530000,59.516502,-4.665948
5.540000,59.516502,-4.665184
5.550000,59.531853,-4.662174
5.560000,59.557442,-4.673452
5.570000,59.530392,-4.684773
